%Y-%m-%d;SBI;SPI;SII;LP25;LP40;LP60
2000-02-18;94.54;4824.66;145.615;98.52;98.07;97.47
2000-02-21;94.57;4772.78;144.919;98.32;97.71;96.91
2000-02-22;94.58;4811.57;145.095;98.25;97.55;96.59
2000-02-23;94.51;4848.03;144.613;98.53;98.01;97.29
2000-02-24;94.46;4832.86;143.539;98.61;98.12;97.45
2000-02-25;94.42;4803.76;143.295;98.75;98.35;97.83
2000-02-28;94.25;4758.93;142.314;98.71;98.37;97.96
2000-02-29;94.3;4750.92;141.844;98.91;98.66;98.4
2000-03-01;94.34;4798.53;141.685;99.17;99.06;98.97
2000-03-02;94.26;4860.84;141.665;99.43;99.5;99.66
2000-03-03;94.28;4850.61;141.958;99.71;99.9;100.24
2000-03-06;94.32;4904.67;141.907;99.8;99.99;100.3
2000-03-07;94.38;4883.14;142.286;99.67;99.73;99.86
2000-03-08;94.36;4805.12;141.683;99.47;99.42;99.44
2000-03-09;94.39;4787.45;140.714;99.52;99.5;99.56
2000-03-10;94.31;4793.21;140.879;99.57;99.6;99.73
2000-03-13;94.34;4693.71;140.763;99.19;98.95;98.73
2000-03-14;94.23;4738.34;140.279;99.19;98.97;98.76
2000-03-15;94.1;4725.83;140.571;99.06;98.82;98.57
2000-03-16;94.03;4871.47;140.645;99.74;99.92;100.23
2000-03-17;94.04;4866.28;140.784;99.93;100.2;100.65
2000-03-20;94.03;4922.66;139.608;100.1;100.43;100.95
2000-03-21;94;4959.52;139.67;100.31;100.8;101.53
2000-03-22;93.92;5033.5;140.396;100.57;101.24;102.2
2000-03-23;93.82;5032.77;140.136;100.36;101.01;101.93
2000-03-24;93.59;5083.49;139.887;100.23;100.97;102
2000-03-27;93.4;5047.49;140.162;100.05;100.79;101.84
2000-03-28;93.27;5054.27;140.364;100.07;100.86;101.97
2000-03-29;93.05;5073.5;141.003;100.3;101.27;102.64
2000-03-30;93.01;5049.04;140.92;99.88;100.64;101.7
2000-03-31;92.86;5075.78;142.31;99.99;100.86;102.07
2000-04-03;92.8;5116.34;142.994;99.89;100.74;101.9
2000-04-04;92.99;5141.02;143.188;99.97;100.77;101.85
2000-04-05;93.47;5057.3;143.25;99.75;100.16;100.71
2000-04-06;93.41;5065.52;143.542;99.79;100.32;101.03
2000-04-07;93.48;5064.3;143.207;100.08;100.72;101.62
2000-04-10;93.77;5049.73;142.811;100.22;100.78;101.56
2000-04-11;93.84;5074.53;142.684;100.07;100.51;101.1
2000-04-12;93.65;5115.68;142.175;99.98;100.43;101.01
2000-04-13;93.6;5117.4;142.271;99.81;100.16;100.58
2000-04-14;93.56;5060.67;142.115;99.05;98.94;98.68
2000-04-17;93.53;4970.05;142.23;98.89;98.69;98.35
2000-04-18;93.37;4988.74;141.592;99.27;99.38;99.51
2000-04-19;93.25;5003.16;141.551;99.33;99.53;99.77
2000-04-20;93.22;5013.79;141.408;99.43;99.7;100.04
2000-04-21;93.22;5013.79;141.408;99.43;99.7;100.04
2000-04-24;93.22;5013.79;141.408;99.38;99.63;99.94
2000-04-25;93.03;5052.1;140.864;99.88;100.49;101.32
2000-04-26;92.82;5078.69;139.862;99.84;100.52;101.44
2000-04-27;92.79;5054.14;139.391;99.85;100.56;101.54
2000-04-28;92.58;5062.73;138.8;99.71;100.44;101.45
2000-05-01;92.58;5062.73;138.8;99.76;100.56;101.67
2000-05-02;92.61;5148.17;138.867;99.84;100.67;101.8
2000-05-03;92.62;5139.62;137.644;99.52;100.22;101.15
2000-05-04;92.58;5133.56;138.57;99.46;100.16;101.07
2000-05-05;92.6;5129.34;138.316;99.64;100.42;101.48
2000-05-08;92.68;5145.7;138.005;99.6;100.29;101.2
2000-05-09;92.68;5181.95;138.119;99.49;100.07;100.79
2000-05-10;92.64;5157.6;138.132;99.18;99.54;99.94
2000-05-11;92.54;5241.77;138.018;99.43;100.02;100.73
2000-05-12;92.45;5265.97;137.848;99.51;100.22;101.08
2000-05-15;92.47;5257.22;137.499;99.55;100.25;101.11
2000-05-16;92.43;5287.21;137.721;99.85;100.74;101.91
2000-05-17;92.2;5263.87;137.127;99.61;100.51;101.65
2000-05-18;92.11;5300.78;137.045;99.65;100.55;101.7
2000-05-19;92.03;5253.56;136.902;99.22;99.89;100.7
2000-05-22;92.09;5237.43;136.117;98.84;99.26;99.7
2000-05-23;92.18;5297.42;136.172;99.11;99.54;99.96
2000-05-24;92.19;5297.11;135.968;99.29;99.76;100.26
2000-05-25;92.13;5347.58;137.958;99.31;99.82;100.35
2000-05-26;92.18;5281.56;139.094;99.01;99.29;99.51
2000-05-29;92.22;5297.52;138.94;99.19;99.53;99.81
2000-05-30;92.15;5251.29;138.792;99.4;99.9;100.47
2000-05-31;92.3;5269.66;138.744;99.45;100;100.63
2000-06-01;92.3;5269.66;138.744;99.69;100.37;101.2
2000-06-02;92.48;5346.03;139.612;100.08;100.93;101.98
2000-06-05;92.34;5321.05;138.993;100.14;100.95;101.95
2000-06-06;92.4;5295.42;139.089;99.83;100.45;101.17
2000-06-07;92.58;5330.17;138.781;100.01;100.64;101.37
2000-06-08;92.48;5341.11;139.535;99.9;100.53;101.24
2000-06-09;92.45;5336.14;139.251;99.8;100.42;101.12
2000-06-12;92.45;5336.14;139.251;99.67;100.21;100.8
2000-06-13;92.44;5334.84;139.995;99.73;100.27;100.86
2000-06-14;92.43;5370.99;139.946;99.89;100.51;101.21
2000-06-15;92.43;5333.66;139.738;99.86;100.45;101.12
2000-06-16;92.54;5345.88;140.088;99.78;100.24;100.7
2000-06-19;92.55;5314.28;140.015;99.86;100.37;100.92
2000-06-20;92.48;5320.89;139.965;99.84;100.39;101.02
2000-06-21;92.38;5295.97;139.534;99.72;100.31;101
2000-06-22;92.37;5235.29;138.689;99.51;99.97;100.5
2000-06-23;92.42;5238.37;137.562;99.57;100.03;100.54
2000-06-26;92.37;5241.37;137.41;99.54;99.99;100.49
2000-06-27;92.43;5242.17;137.299;99.45;99.82;100.19
2000-06-28;92.52;5264.54;137.008;99.66;100.09;100.54
2000-06-29;92.56;5253.98;137.14;99.62;99.93;100.22
2000-06-30;92.66;5293.34;137.608;99.76;100.12;100.48
2000-07-03;92.65;5318.93;136.708;100;100.51;101.08
2000-07-04;92.65;5351.49;136.687;100.07;100.61;101.22
2000-07-05;92.81;5382.58;136.782;99.97;100.35;100.7
2000-07-06;92.99;5413.23;136.917;100.07;100.46;100.81
2000-07-07;92.99;5423;136.371;100.37;100.93;101.52
2000-07-10;93.1;5435.26;136.801;100.48;101.03;101.6
2000-07-11;93.25;5446.01;136.294;100.7;101.27;101.88
2000-07-12;93.25;5431.35;135.893;100.89;101.56;102.33
2000-07-13;93.16;5471.54;135.164;101.03;101.81;102.72
2000-07-14;93.14;5464.9;135.108;100.99;101.79;102.74
2000-07-17;93.1;5450.09;134.839;100.99;101.81;102.8
2000-07-18;93.14;5433.73;134.122;100.88;101.58;102.39
2000-07-19;93.06;5454.34;134.341;100.95;101.71;102.61
2000-07-20;93.12;5463.87;134.452;101.11;101.94;102.94
2000-07-21;93.18;5448.21;134.277;100.93;101.58;102.32
2000-07-24;93.21;5505.41;134.527;101.01;101.64;102.32
2000-07-25;93.21;5505.25;134.7;100.86;101.42;101.98
2000-07-26;93.15;5495.93;134.233;100.7;101.17;101.6
2000-07-27;93.07;5490.74;133.941;100.56;100.98;101.34
2000-07-28;92.93;5489.64;134.794;100.4;100.77;101.06
2000-07-31;92.85;5504.14;135.713;100.46;100.91;101.29
2000-08-01;92.85;5504.14;135.713;100.57;101.07;101.53
2000-08-02;92.9;5585.35;134.677;100.94;101.6;102.29
2000-08-03;92.87;5575.78;135.002;101.09;101.83;102.63
2000-08-04;92.86;5580.18;136.157;101.19;101.97;102.83
2000-08-07;92.88;5655.54;136.12;101.47;102.39;103.41
2000-08-08;92.93;5653.38;136.615;101.61;102.6;103.74
2000-08-09;92.98;5658.87;136.164;101.75;102.76;103.93
2000-08-10;93.13;5639.88;136.568;101.63;102.48;103.43
2000-08-11;93.16;5655.71;137.225;101.96;102.94;104.07
2000-08-14;93.13;5690.01;136.773;102.13;103.24;104.53
2000-08-15;93.09;5687.15;136.837;102.05;103.1;104.33
2000-08-16;93.03;5730.99;136.698;102.15;103.29;104.62
2000-08-17;93.02;5689.41;136.572;102.09;103.18;104.45
2000-08-18;93.01;5686.91;137.054;102.17;103.29;104.62
2000-08-21;92.97;5713.61;138.346;102.27;103.46;104.89
2000-08-22;93.04;5739.89;139.153;102.5;103.79;105.34
2000-08-23;93.09;5770.05;140.229;102.51;103.8;105.34
2000-08-24;93.19;5758.82;140.832;102.36;103.53;104.91
2000-08-25;93.3;5736.29;141.796;102.38;103.52;104.87
2000-08-28;93.37;5753.37;142.441;102.55;103.76;105.22
2000-08-29;93.39;5704.34;142.753;102.55;103.73;105.17
2000-08-30;93.37;5676.34;142.88;102.54;103.69;105.1
2000-08-31;93.34;5681.82;142.132;102.71;103.96;105.51
2000-09-01;93.47;5690.66;142.682;102.8;104.03;105.54
2000-09-04;93.52;5673.55;142.349;102.93;104.18;105.73
2000-09-05;93.49;5662.85;142.257;102.98;104.24;105.82
2000-09-06;93.43;5641.44;142.083;102.82;104.03;105.53
2000-09-07;93.39;5644.45;141.994;102.97;104.28;105.94
2000-09-08;93.41;5625.33;142.28;102.91;104.16;105.73
2000-09-11;93.44;5625.34;141.934;102.53;103.6;104.91
2000-09-12;93.46;5586.63;141.739;102.32;103.29;104.43
2000-09-13;93.51;5579.74;141.612;102.27;103.16;104.2
2000-09-14;93.67;5565.31;141.789;102.51;103.43;104.52
2000-09-15;93.68;5573.87;141.211;102.44;103.28;104.25
2000-09-18;93.6;5524.6;140.308;102.17;102.88;103.67
2000-09-19;93.57;5483.78;138.952;102.01;102.68;103.44
2000-09-20;93.55;5459.6;139;101.93;102.58;103.31
2000-09-21;93.56;5466.14;138.599;101.89;102.47;103.08
2000-09-22;93.58;5511.47;139.218;101.6;101.97;102.24
2000-09-25;93.48;5550.31;138.941;101.69;102.16;102.58
2000-09-26;93.39;5518.53;139.757;101.52;101.86;102.08
2000-09-27;93.35;5514.37;139.386;101.48;101.82;102.07
2000-09-28;93.39;5520.03;139.412;101.66;102.11;102.49
2000-09-29;93.45;5423.6;139.516;101.43;101.72;101.91
2000-10-02;93.46;5526.35;139.702;101.64;102.03;102.34
2000-10-03;93.49;5572.97;139.378;101.71;102.12;102.45
2000-10-04;93.56;5566.71;139.994;101.79;102.24;102.62
2000-10-05;93.57;5578.45;139.9;101.99;102.5;102.96
2000-10-06;93.57;5549.83;139.269;101.8;102.17;102.43
2000-10-09;93.64;5441.5;139.004;101.55;101.72;101.72
2000-10-10;93.63;5478.84;138.852;101.54;101.68;101.63
2000-10-11;93.75;5375.42;139.133;100.95;100.68;100.07
2000-10-12;93.78;5393.8;139.388;100.82;100.49;99.78
2000-10-13;93.84;5354;139.197;101.12;100.93;100.46
2000-10-16;93.74;5316.58;138.871;101.27;101.19;100.9
2000-10-17;93.74;5339.68;139.184;101.1;100.88;100.38
2000-10-18;93.81;5335.09;138.577;100.9;100.56;99.87
2000-10-19;93.71;5422.95;138.084;101.49;101.54;101.39
2000-10-20;93.7;5404.64;138.845;101.6;101.74;101.72
2000-10-23;93.65;5433.57;138.667;101.73;101.92;101.99
2000-10-24;93.66;5503.16;138.38;102.02;102.36;102.62
2000-10-25;93.65;5479.88;138.824;101.8;102.01;102.09
2000-10-26;93.6;5492.22;138.188;101.96;102.22;102.36
2000-10-27;93.6;5509.27;138.313;102.11;102.43;102.64
2000-10-30;93.54;5554.52;138.288;102.2;102.6;102.9
2000-10-31;93.55;5572.9;138.732;102.5;103.05;103.58
2000-11-01;93.61;5575.75;138.049;102.43;102.92;103.35
2000-11-02;93.64;5644.84;137.754;102.62;103.19;103.73
2000-11-03;93.63;5631.9;137.439;102.5;103.03;103.5
2000-11-06;93.64;5676.82;137.39;102.66;103.27;103.84
2000-11-07;93.65;5673.29;137.926;102.69;103.3;103.89
2000-11-08;93.7;5658.69;138.369;102.61;103.13;103.58
2000-11-09;93.74;5604.36;137.636;102.37;102.72;102.94
2000-11-10;93.82;5609.89;137.601;102.1;102.21;102.08
2000-11-13;93.91;5565.27;137.295;101.92;101.84;101.44
2000-11-14;93.99;5642.47;137.517;102.5;102.7;102.7
2000-11-15;93.97;5639.04;137.403;102.66;102.95;103.07
2000-11-16;93.98;5656.32;137.657;102.59;102.81;102.81
2000-11-17;93.93;5657.66;137.267;102.55;102.76;102.74
2000-11-20;93.93;5657.99;137.266;102.4;102.47;102.25
2000-11-21;93.86;5669.53;137.508;102.36;102.45;102.27
2000-11-22;93.84;5581.55;137.299;101.96;101.8;101.27
2000-11-23;93.78;5596.16;137.549;102.04;101.94;101.49
2000-11-24;93.75;5614.67;137.492;102.22;102.27;102.03
2000-11-27;93.75;5656.8;138.119;102.17;102.21;101.94
2000-11-28;93.81;5613.82;137.895;101.91;101.74;101.17
2000-11-29;93.94;5597.2;138.685;101.85;101.59;100.89
2000-11-30;94.11;5533.21;138.695;101.49;100.89;99.72
2000-12-01;94.12;5578.25;139.158;101.66;101.14;100.08
2000-12-04;94.18;5550.89;138.475;101.43;100.74;99.44
2000-12-05;94.19;5643.81;138.726;102.12;101.82;101.05
2000-12-06;94.31;5604.16;138.459;102.02;101.58;100.61
2000-12-07;94.38;5550.57;138.568;101.84;101.24;100.08
2000-12-08;94.42;5538.44;138.741;102;101.5;100.49
2000-12-11;94.43;5565.46;139.043;102.35;102.06;101.35
2000-12-12;94.44;5549.24;138.915;102.23;101.88;101.08
2000-12-13;94.6;5563.85;139.234;102.33;101.91;101.01
2000-12-14;94.77;5495.63;139.591;101.99;101.27;99.95
2000-12-15;94.89;5449.22;139.741;101.56;100.5;98.72
2000-12-18;95.04;5511.11;140.108;101.81;100.85;99.18
2000-12-19;95.07;5563.39;139.736;101.99;101.06;99.43
2000-12-20;95.22;5508.82;139.793;101.5;100.13;97.87
2000-12-21;95.28;5468.73;140.336;101.47;100.02;97.65
2000-12-22;95.18;5501.27;140.631;101.48;100.11;97.86
2000-12-25;95.18;5501.27;140.631;101.53;100.19;97.98
2000-12-26;95.18;5501.27;140.631;101.41;100.03;97.76
2000-12-27;95.18;5573.72;140.171;101.8;100.58;98.53
2000-12-28;95.16;5627.97;140.506;101.99;100.9;99.01
2000-12-29;95.26;5621.13;140.3;101.79;100.52;98.37
2001-01-01;95.26;5621.13;140.3;102.08;100.81;98.65
2001-01-02;95.26;5621.13;140.3;101.48;99.99;97.51
2001-01-03;95.81;5601.77;140.686;102.07;100.66;98.32
2001-01-04;95.9;5603.67;142.229;102.19;100.78;98.45
2001-01-05;96.01;5521.97;142.979;101.98;100.35;97.75
2001-01-08;96.06;5515.63;143.352;102.01;100.34;97.68
2001-01-09;95.85;5498.51;144.17;101.89;100.27;97.69
2001-01-10;95.82;5441.81;144.257;101.8;100.17;97.58
2001-01-11;95.97;5449.7;144.308;102;100.38;97.81
2001-01-12;95.82;5441.12;145.192;102;100.44;97.95
2001-01-15;95.76;5449.11;145.312;102.12;100.64;98.27
2001-01-16;95.75;5451.59;146.825;102.13;100.66;98.31
2001-01-17;95.6;5518.18;146.705;102.45;101.23;99.2
2001-01-18;95.63;5497.86;146.941;102.18;100.85;98.67
2001-01-19;95.66;5454.57;146.767;102.3;101;98.89
2001-01-22;95.56;5460.57;146.614;102.36;101.1;99.05
2001-01-23;95.55;5459.08;146.812;102.37;101.14;99.12
2001-01-24;95.46;5494.03;147.179;102.62;101.59;99.83
2001-01-25;95.45;5521.47;147.034;102.61;101.57;99.81
2001-01-26;95.52;5556.39;146.691;102.72;101.69;99.92
2001-01-29;95.52;5552.43;146.718;102.73;101.73;99.99
2001-01-30;95.52;5555.57;146.914;102.75;101.75;100.02
2001-01-31;95.65;5564.09;146.682;102.93;101.91;100.14
2001-02-01;95.77;5514.2;147.454;102.87;101.73;99.83
2001-02-02;95.78;5532.75;147.26;102.91;101.73;99.77
2001-02-05;95.87;5560.94;146.731;102.94;101.72;99.67
2001-02-06;95.88;5573.41;147.624;103.14;102;100.07
2001-02-07;95.92;5550.43;146.987;102.93;101.65;99.54
2001-02-08;95.79;5500.61;147.211;102.83;101.57;99.5
2001-02-09;95.8;5484.39;147.452;102.53;101.1;98.79
2001-02-12;95.85;5469.39;146.664;102.69;101.29;99.03
2001-02-13;95.85;5478.01;146.568;102.79;101.42;99.21
2001-02-14;95.79;5418.7;146.095;102.55;101.09;98.77
2001-02-15;95.67;5451.38;146.366;102.85;101.63;99.65
2001-02-16;95.64;5378.92;145.933;102.4;100.9;98.52
2001-02-19;95.65;5382.7;146.135;102.31;100.74;98.26
2001-02-20;95.56;5348.08;146.03;102.16;100.54;98
2001-02-21;95.53;5303.6;145.933;101.74;99.9;97.07
2001-02-22;95.42;5306.62;145.533;101.71;99.89;97.08
2001-02-23;95.41;5269.82;145.524;101.58;99.66;96.74
2001-02-26;95.44;5307.33;145.113;101.92;100.14;97.41
2001-02-27;95.54;5316.48;144.645;101.91;100.04;97.17
2001-02-28;95.67;5320.82;144.807;101.89;99.92;96.9
2001-03-01;95.76;5219.54;144.367;101.53;99.32;96.01
2001-03-02;95.8;5200.62;143.714;101.27;98.93;95.44
2001-03-05;95.79;5227.55;143.981;101.49;99.27;95.93
2001-03-06;95.76;5254.32;143.981;101.72;99.62;96.46
2001-03-07;95.85;5254.34;142.808;101.91;99.86;96.77
2001-03-08;95.95;5230.57;143.078;101.92;99.82;96.66
2001-03-09;95.93;5205.61;142.853;101.67;99.39;96
2001-03-12;95.93;5116.27;143.005;100.95;98.26;94.32
2001-03-13;95.94;5101.77;143.258;101.16;98.55;94.73
2001-03-14;96.01;4998.09;142.604;100.77;97.91;93.77
2001-03-15;96.03;5024.83;142.824;101.06;98.33;94.38
2001-03-16;96.16;4917.09;143.081;100.78;97.81;93.55
2001-03-19;96.14;4867.8;142.704;100.72;97.75;93.52
2001-03-20;96.05;4889.7;142.606;100.54;97.5;93.16
2001-03-21;96.15;4815.02;142.987;100.4;97.21;92.71
2001-03-22;96.37;4565.45;142.523;99.94;96.4;91.51
2001-03-23;96.46;4666.13;142.826;100.36;97.03;92.38
2001-03-26;96.47;4829.85;142.263;101.04;98.04;93.81
2001-03-27;96.56;4850.35;142.299;101.33;98.49;94.48
2001-03-28;96.43;4829.04;142.23;101.09;98.16;94.02
2001-03-29;96.39;4869.65;142.648;101.05;98.1;93.93
2001-03-30;96.37;4952.28;142.755;101.23;98.39;94.32
2001-04-02;96.51;4867.53;142.582;101.03;98.02;93.74
2001-04-03;96.53;4761.82;142.438;100.37;96.98;92.24
2001-04-04;96.5;4727.87;142.72;100.05;96.53;91.63
2001-04-05;96.35;4829.64;142.514;100.73;97.66;93.32
2001-04-06;96.32;4817.94;142.914;100.57;97.38;92.9
2001-04-09;96.35;4885.97;142.869;100.78;97.67;93.26
2001-04-10;96.31;4950.8;143.247;101.25;98.46;94.46
2001-04-11;96.06;5002.75;143.107;101.21;98.54;94.69
2001-04-12;95.88;5007.11;142.97;101.1;98.5;94.73
2001-04-13;95.88;5007.11;142.97;101.1;98.49;94.71
2001-04-16;95.88;5007.11;142.97;101.2;98.64;94.93
2001-04-17;95.76;5007.6;143.21;101.32;98.83;95.23
2001-04-18;95.51;5071.74;142.542;102.11;100.15;97.24
2001-04-19;95.62;5046.85;142.828;102.02;99.98;96.97
2001-04-20;95.54;5011.22;142.719;101.58;99.34;96.07
2001-04-23;95.62;4966.92;142.509;101.46;99.1;95.68
2001-04-24;95.53;5022.58;142.503;101.51;99.18;95.77
2001-04-25;95.54;4983.58;143.42;101.56;99.25;95.9
2001-04-26;95.54;4981.73;143.67;101.69;99.42;96.13
2001-04-27;95.52;5009.7;143.994;102.04;100;97
2001-04-30;95.37;5064.11;144.25;102.23;100.34;97.54
2001-05-01;95.37;5064.11;144.25;102.44;100.64;97.97
2001-05-02;95.41;5098.16;145.49;102.61;100.86;98.23
2001-05-03;95.6;5056.15;145.816;102.44;100.48;97.57
2001-05-04;95.72;5093.64;145.609;102.8;100.94;98.17
2001-05-07;95.74;5160;145.911;103;101.23;98.54
2001-05-08;95.77;5147.83;145.172;103.01;101.21;98.51
2001-05-09;95.82;5110.6;145.644;102.9;101.01;98.19
2001-05-10;95.88;5181.75;145.409;103.15;101.35;98.63
2001-05-11;95.84;5201.94;146.025;103.07;101.27;98.54
2001-05-14;95.64;5170.86;146.208;102.77;100.91;98.1
2001-05-15;95.62;5215.25;146.016;102.86;101.04;98.27
2001-05-16;95.68;5224.6;145.413;103.02;101.28;98.63
2001-05-17;95.64;5272.37;145.447;103.33;101.76;99.33
2001-05-18;95.63;5283.52;145.623;103.42;101.92;99.57
2001-05-21;95.48;5294.5;145.948;103.54;102.19;100.04
2001-05-22;95.41;5315.83;145.493;103.69;102.43;100.42
2001-05-23;95.34;5317.2;145.545;103.57;102.28;100.2
2001-05-24;95.34;5317.2;145.545;103.61;102.34;100.3
2001-05-25;95.29;5296.73;145.89;103.43;102.07;99.9
2001-05-28;95.32;5289.08;145.684;103.39;102;99.8
2001-05-29;95.36;5258.14;145.81;103.41;101.96;99.69
2001-05-30;95.39;5222.72;146.073;103.06;101.39;98.83
2001-05-31;95.32;5183.45;145.723;103.09;101.49;99.04
2001-06-01;95.46;5206.79;145.648;103.34;101.76;99.34
2001-06-04;95.46;5206.79;145.648;103.36;101.81;99.41
2001-06-05;95.58;5247.32;145.946;103.59;102.09;99.77
2001-06-06;95.6;5246.05;146.039;103.63;102.11;99.75
2001-06-07;95.6;5251.39;145.77;103.66;102.15;99.81
2001-06-08;95.62;5227.55;146.105;103.6;102.03;99.62
2001-06-11;95.7;5196.28;145.95;103.51;101.84;99.29
2001-06-12;95.74;5133.83;146.411;103.21;101.35;98.57
2001-06-13;95.76;5179.67;145.603;103.32;101.48;98.71
2001-06-14;95.67;5114.35;145.496;102.85;100.79;97.72
2001-06-15;95.8;5084.82;145.293;102.7;100.49;97.22
2001-06-18;95.85;5071.58;145.481;102.69;100.41;97.05
2001-06-19;95.84;5039.58;145.369;102.74;100.47;97.14
2001-06-20;95.94;4996.01;144.69;102.78;100.5;97.2
2001-06-21;95.97;4997.49;144.765;102.82;100.58;97.33
2001-06-22;95.99;4957.15;143.278;102.68;100.35;96.99
2001-06-25;96.06;4961.49;143.173;102.62;100.2;96.69
2001-06-26;96.07;4898.93;142.908;102.41;99.89;96.26
2001-06-27;96.06;4852.99;142.79;102.26;99.66;95.96
2001-06-28;96;4950.23;143.61;102.71;100.39;97.03
2001-06-29;95.8;5006.54;144.399;102.8;100.63;97.47
2001-07-02;95.8;5048.65;143.854;103.08;101.04;98.03
2001-07-03;95.78;5003.83;143.6;102.9;100.77;97.66
2001-07-04;95.69;4964.46;143.528;102.7;100.51;97.34
2001-07-05;95.69;4924.6;144.042;102.64;100.38;97.14
2001-07-06;95.72;4837.37;143.315;101.99;99.36;95.64
2001-07-09;95.72;4839.4;142.977;102.01;99.4;95.68
2001-07-10;95.72;4783.56;143.271;101.72;98.92;94.97
2001-07-11;95.83;4726.98;143.795;101.42;98.41;94.19
2001-07-12;95.79;4799.65;143.411;101.85;99.13;95.28
2001-07-13;95.82;4804.87;143.511;101.93;99.25;95.45
2001-07-16;95.82;4800.84;143.381;101.81;99.02;95.08
2001-07-17;95.71;4775.05;143.477;101.8;99.05;95.18
2001-07-18;95.65;4750.25;143.65;101.16;98.12;93.85
2001-07-19;95.68;4833.85;144.325;101.52;98.64;94.55
2001-07-20;95.71;4793.13;143.845;101.34;98.34;94.1
2001-07-23;95.72;4790.88;144.771;101.34;98.28;93.96
2001-07-24;95.76;4691.64;144.956;100.92;97.61;92.97
2001-07-25;95.77;4628.45;145.146;100.79;97.42;92.74
2001-07-26;95.75;4635.32;145.378;101.02;97.77;93.25
2001-07-27;95.87;4681.22;145.639;101.33;98.17;93.77
2001-07-30;95.94;4713.57;146.006;101.49;98.35;93.96
2001-07-31;96.02;4732.71;145.558;101.73;98.68;94.41
2001-08-01;96.02;4775.11;145.302;101.77;98.76;94.53
2001-08-02;96.01;4792.86;145.763;101.86;98.9;94.73
2001-08-03;96.01;4755.23;146.316;101.59;98.5;94.16
2001-08-06;96.09;4765.61;145.848;101.68;98.55;94.17
2001-08-07;96.1;4761.26;145.913;101.75;98.67;94.34
2001-08-08;96.09;4749.08;145.978;101.53;98.31;93.81
2001-08-09;96.28;4654.38;146.069;101.19;97.69;92.83
2001-08-10;96.37;4594.87;146.498;101.19;97.6;92.67
2001-08-13;96.42;4645.73;146.89;101.34;97.79;92.87
2001-08-14;96.37;4712.31;147.063;101.58;98.15;93.39
2001-08-15;96.41;4686.85;146.913;101.31;97.73;92.76
2001-08-16;96.41;4644.94;146.804;101.17;97.5;92.44
2001-08-17;96.43;4610.48;146.815;100.87;97.01;91.69
2001-08-20;96.47;4585.22;146.829;100.92;97.06;91.75
2001-08-21;96.49;4644;147.101;101.01;97.19;91.9
2001-08-22;96.42;4599.42;147.144;100.87;97;91.68
2001-08-23;96.39;4574.22;147.234;100.84;96.98;91.67
2001-08-24;96.31;4633.32;147.406;101.15;97.49;92.44
2001-08-27;96.24;4663.23;147.24;101.25;97.64;92.64
2001-08-28;96.25;4599.5;146.849;100.93;97.13;91.91
2001-08-29;96.27;4545.41;146.429;100.75;96.82;91.45
2001-08-30;96.28;4511.31;146.364;100.47;96.36;90.74
2001-08-31;96.4;4540.71;146.868;100.64;96.55;90.95
2001-09-03;96.46;4458.2;146.179;100.46;96.24;90.5
