%Y-%m-%d;SPI85;SBI85;SXI85;IBOR85;LPP25P;LPP40P;LPP60P;MSCIW.USD;CHF.USD;WTI.USD;CFNAI.CUM
1987-11-30;786;40.68;61.35;113.4425;296.23;254.84;211.68;647.76;1.3825;18.92;109.9879
1987-12-31;769.4;40.97;62.18;113.7876;295.92;253.54;209.65;675.62;1.3304;17.24;110.7384
1988-01-29;764.99;41.34;65.11;113.997;303.71;262.55;219.89;691.91;1.3466;17.16;110.495
1988-02-29;828.73;41.79;66.08;114.1523;313.01;273.18;231.74;731.87;1.3916;16.77;111.3046
1988-03-31;812.26;41.99;68.61;114.3202;314.03;273.83;232.25;753.77;1.3863;16.22;111.8737
1988-04-29;822.21;42.32;70.57;114.5134;317.81;278.05;236.91;763.08;1.3823;17.88;112.4232
1988-05-31;822.19;42.16;70.74;114.7439;318.29;279.02;238.34;747.63;1.4111;17.44;112.4007
1988-06-30;869.43;42.2;70.29;115.0356;322.78;284.78;245.28;746.39;1.4629;16.53;113.1903
1988-07-29;884.69;42.03;70.66;115.406;325.85;289.57;251.97;760.22;1.5343;15.5;113.3035
1988-08-31;885.5;42.16;71.05;115.7573;325.61;287.95;248.84;718.25;1.5837;15.52;113.3375
1988-09-30;910.85;42.24;71.58;116.0922;330.42;293.71;255.53;748.52;1.5764;14.47;113.5076
1988-10-31;936.43;42.61;73.64;116.4526;333.8;297.2;259.08;798.13;1.5372;13.8;114.2593
1988-11-30;921.74;42.69;76.03;116.8664;332.7;295.74;257.22;825.71;1.4675;13.98;114.6714
1988-12-30;942.5;42.73;76.97;117.3468;336.72;300.93;263.74;832.96;1.4799;16.27;115.5462
1989-01-31;964.4;42.32;73.86;117.9227;341.44;309.05;275.92;862.88;1.5619;17.98;116.0209
1989-02-28;955.6;42.08;69.79;118.5261;337.11;304.34;270.59;857.24;1.574;17.83;115.5231
1989-03-31;998.1;41.91;69.84;119.1078;343.41;312.62;281.17;851.52;1.611;19.45;115.373
1989-04-28;1035.1;41.26;67.75;119.7672;344.04;315.62;286.76;870.94;1.6469;21.04;115.4076
1989-05-31;1005.3;40.31;67.06;120.5935;338.69;310.92;282.7;849.37;1.729;20.03;114.4422
1989-06-30;1094.5;41.34;70.4;121.3495;346.17;316.84;286.42;839.56;1.7089;20.01;114.1565
1989-07-31;1164.5;41.5;70.09;122.0595;353.1;326.18;298.52;934.19;1.6281;19.64;112.9754
1989-08-31;1209.4;41.42;70.4;122.8247;355.94;330.64;304.7;911.36;1.6605;18.52;113.5871
1989-09-29;1176.7;41.26;68.67;123.6399;351.52;326.01;299.96;936.86;1.6866;19.59;112.8625
1989-10-31;1107.8;41.05;68.88;124.4669;346.72;319.68;292.01;905.38;1.6302;20.09;112.2996
1989-11-30;1140.9;41.22;68.95;125.293;349.56;323.58;296.91;941.28;1.6189;19.82;112.5244
1989-12-29;1137.9;41.05;68.67;126.256;348.61;323.01;296.83;971.30;1.5686;21.09;112.4682
1990-01-31;1102.3;40.03;69.46;127.2795;340.55;314.29;287.23;925.70;1.5175;22.64;112.1537
1990-02-28;1096.2;39.99;69.87;128.2711;337.07;309.46;280.97;885.75;1.4879;22.11;112.9189
1990-03-30;1079.6;40.03;70.49;129.2368;335.19;306.26;276.17;832.01;1.5133;20.42;113.1224
1990-04-30;1044;39.95;69.68;130.2504;331.47;301.24;269.68;819.75;1.4866;18.58;112.1313
1990-05-31;1173.6;40.44;70.59;131.2105;343.32;314.33;284.72;905.82;1.4198;18.24;111.8737
1990-06-29;1192.7;41.22;70.82;132.1982;347.67;318.01;287.52;899.10;1.425;16.87;111.639
1990-07-31;1178.31;41.54;70.8;133.1882;347.28;315.96;283.63;907.02;1.3924;18.64;110.6719
1990-08-31;1018.8;40.93;70.95;134.149;333.58;298.5;261.84;821.84;1.3076;27.17;109.9989
1990-09-28;894.5;41.05;71.24;135.0744;323.6;284.24;243.14;734.91;1.3069;33.69;108.8935
1990-10-31;925.6;41.3;72.01;136.0134;331.37;293.71;254.16;803.23;1.2818;35.92;107.2937
1990-11-30;901.3;41.38;72.1;137.0303;331.8;292.92;252.11;789.75;1.2569;32.3;105.2112
1990-12-31;908.3;41.54;72.12;138.0331;334.09;294.71;253.56;806.00;1.2814;27.34;103.7589
1991-01-31;924.8;42.32;73.5;138.9709;340.24;300.7;259.2;835.20;1.2714;24.96;102.112
1991-02-28;1017.9;43.1;74.86;139.9296;356.08;319.66;281.21;912.22;1.2685;20.52;100.5817
1991-03-29;1059.1;43.35;76.03;140.939;365.21;332.13;296.6;885.06;1.3918;19.86;99.1437
1991-04-30;1073.7;43.84;76.46;141.9556;369.06;335.54;299.55;891.70;1.4399;20.82;98.8665
1991-05-31;1123.4;44.21;77.59;142.9051;375.92;343.38;308.55;911.64;1.4574;21.24;98.4718
1991-06-28;1091.4;44.33;77.26;143.861;374.76;341.78;306.28;855.08;1.5297;20.2;98.5211
1991-07-31;1123.3;44.53;77.61;144.8158;377.96;344.83;309.51;895.19;1.5481;21.42;98.2849
1991-08-30;1122.5;44.66;77.68;145.7921;379.98;346.27;310.4;892.07;1.5201;21.69;97.7947
1991-09-30;1078.8;44.74;77.85;146.7979;380.28;345.36;308.01;915.19;1.4803;21.86;98.0885
1991-10-31;1078.8;44.37;77.94;147.826;381.53;347.27;310.74;929.75;1.4781;23.23;97.4238
1991-11-29;1040.2;44.53;78.27;148.8303;378.54;341.29;301.59;888.95;1.4348;22.47;96.7635
1991-12-31;1052.8;44.94;78.85;149.8493;383.92;345.94;305.59;953.38;1.3855;19.52;95.7433
1992-01-31;1111.5;45.76;79.52;150.7888;392.54;355.85;316.65;935.45;1.4039;18.82;95.3229
1992-02-28;1149.6;46.17;79.94;151.758;396.58;360.37;321.77;919.02;1.4561;19;95.3134
1992-03-31;1138.9;45.97;80.72;152.8925;393.09;355.66;315.91;875.45;1.5094;18.92;95.7337
1992-04-30;1169.6;46.09;80.74;154.0275;397.28;360.54;321.55;887.37;1.5194;20.24;95.9733
1992-05-29;1203.6;45.93;81.22;155.2437;399.71;363.26;324.74;922.38;1.4907;20.94;95.8295
1992-06-30;1174.95;45.72;81.38;156.445;393.72;353.1;310.54;891.20;1.425;22.38;95.705
1992-07-31;1135.45;46.17;81.9;157.5735;393.96;350.56;305.16;893.18;1.3347;21.76;96.0213
1992-08-31;1096.02;46.38;83.34;158.611;393.85;348.83;301.7;914.61;1.2966;21.35;95.3515
1992-09-30;1145.77;47.73;84;159.5368;400.2;352.39;302.67;905.93;1.278;21.9;95.2753
1992-10-30;1152.76;49.12;83.61;160.3866;410.72;364.45;315.74;881.10;1.3176;21.69;95.552
1992-11-30;1151.28;49.41;84.35;161.285;417.3;372.61;325.15;896.59;1.4291;20.34;95.6571
1992-12-31;1238.57;50.35;84.78;162.0934;427.42;383.14;336.18;903.55;1.4219;19.41;96.0597
1993-01-29;1264.17;51.13;87.95;162.8296;435.98;391.6;344.41;906.30;1.4774;19.08;96.3869
1993-02-26;1286.76;52.32;91.24;163.5776;448.16;403.75;356.35;927.50;1.5178;20.05;96.5412
1993-03-31;1343.76;53.26;100.04;164.2864;460.37;417.57;371.49;981.00;1.5206;20.35;95.9637
1993-04-30;1323.71;53.55;96.92;164.9895;460.36;417.11;370.46;1026.20;1.4599;20.27;96.3098
1993-05-31;1414.12;53.79;98.84;165.6999;465.49;422.19;376.02;1049.57;1.4504;19.94;96.1847
1993-06-30;1493.6;54.37;99.23;166.3961;478.27;437.26;393.41;1040.50;1.4769;19.07;96.1174
1993-07-30;1517.95;54.9;98.58;167.0474;484.7;445.06;402.4;1061.66;1.5147;17.87;96.1462
1993-08-31;1573.66;55.27;99.52;167.7188;492.13;452.57;410.23;1110.07;1.4966;18.01;96.1655
1993-09-30;1562.52;55.55;102.2;168.384;491.96;450.01;405.01;1089.29;1.4182;17.51;96.5605
1993-10-29;1703.99;56.29;109.65;169.0255;507.5;466.75;423.7;1119.05;1.4432;18.15;97.0154
1993-11-30;1738.63;56.58;115.81;169.6605;506.57;462.48;416.41;1055.48;1.4969;16.7;97.4335
1993-12-31;1867.84;56.91;124.05;170.2447;519.35;475.99;431.3;1106.87;1.4634;14.51;98.0199
1994-01-31;2007.47;57.15;126.17;170.8242;529.43;489.19;448.14;1179.62;1.4716;15;98.1278
1994-02-28;1850.25;56.91;117.68;171.4192;518;477.32;434.87;1164.09;1.4565;14.78;98.334
1994-03-31;1805.41;56.7;114.49;172.0185;508.52;465.85;421.13;1113.64;1.4292;14.66;99.5809
1994-04-29;1781.13;56.29;108.84;172.5928;505.71;465.42;422.95;1147.81;1.4383;16.38;100.01
1994-05-31;1789.92;56.21;108.04;173.2052;504.35;464.74;423;1150.50;1.4125;17.88;100.7931
1994-06-30;1729.02;55.51;103.19;173.831;493.86;453.08;409.9;1147.04;1.3727;19.07;101.3896
1994-07-29;1709.83;55.92;103.53;174.4659;498.95;457.99;414.56;1168.59;1.3239;19.65;101.6027
1994-08-31;1744.35;55.64;102.35;175.0941;499.79;460.5;419.01;1203.51;1.3184;18.38;102.5623
1994-09-30;1683.39;55.47;99.7;175.7062;492.13;450.82;406.87;1171.63;1.2892;17.46;102.8601
1994-10-31;1660.83;55.68;99.51;176.3022;491.61;449.28;404.32;1204.68;1.2648;17.71;103.6967
1994-11-30;1708.79;56.25;102.77;176.8932;498.01;455.01;409.53;1152.17;1.2956;18.1;104.5191
1994-12-30;1725.53;56.58;100.26;177.5277;498.61;455.91;410.53;1163.06;1.3289;17.16;105.3797
1995-01-31;1661.29;57.07;99.16;178.1205;495.86;449.96;401.07;1145.32;1.2863;17.99;105.6541
1995-02-28;1700.4;57.48;99.47;178.6966;497.53;450.37;400.38;1161.74;1.2715;18.53;105.4957
1995-03-31;1640.85;58.14;100.23;179.2186;495.99;444.37;389.83;1217.45;1.1709;18.55;105.3692
1995-04-28;1697.36;58.95;104.55;179.742;506.8;455.46;401.36;1259.60;1.1384;19.87;104.7912
1995-05-31;1818.18;59.53;103.87;180.2319;518.06;467.32;414.22;1270.09;1.1693;19.74;104.4251
1995-06-30;1866.53;59.9;106.01;180.7019;520.98;469.94;416.53;1269.41;1.1588;18.42;104.6342
1995-07-31;1871.33;60.39;105.73;181.114;527.59;477.74;425.37;1332.64;1.1556;17.3;103.9251
1995-08-31;1909.9;60.84;105.32;181.5485;533.93;486.01;435.34;1302.66;1.1962;18.03;104.8646
1995-09-29;1966.95;61.66;106;181.9247;538.62;488.9;436.51;1340.32;1.1868;18.23;105.0641
1995-10-31;2009.29;62.4;109.24;182.24;540.92;488.41;433.44;1318.93;1.1453;17.44;104.676
1995-11-30;2085.66;63.46;118.19;182.563;557.41;505.2;450.79;1364.44;1.1437;17.99;104.561
1995-12-29;2123.43;63.5;116.55;182.839;560.1;509.06;455.83;1404.05;1.1631;19.04;104.6237
1996-01-31;2122.27;63.13;116.29;183.1083;567.18;520.21;470.96;1429.15;1.1818;18.88;103.4067
1996-02-29;2177.74;63.64;113.52;183.3564;564.89;519.17;471.18;1437.56;1.1967;19.07;104.5191
1996-03-29;2325.46;63.92;116.96;183.6312;571.32;526.08;479.1;1461.19;1.1959;21.36;104.2477
1996-04-30;2352.06;64.51;117.63;183.9183;581.36;540.1;497.04;1495.25;1.218;23.57;104.7074
1996-05-31;2299.26;63.17;114.63;184.3211;579.3;540.31;499.25;1496.24;1.2539;21.25;105.2112
1996-06-28;2407.04;63.5;114.7;184.7152;583.84;545.43;505.42;1503.51;1.2579;20.45;105.8656
1996-07-31;2251.89;64.01;113.38;185.1101;575.17;531.11;484.35;1450.07;1.232;21.32;105.855
1996-08-30;2342.99;64.66;113.45;185.4455;582.42;539.2;493.37;1466.44;1.2029;21.96;106.2793
1996-09-30;2393.95;65.77;114.89;185.6774;597.69;557.83;515.51;1523.55;1.2343;23.99;106.5986
1996-10-31;2394.05;66.41;118.61;185.9582;604.76;564.32;521.29;1533.88;1.2586;24.9;106.6626
1996-11-29;2492.21;66.41;120.32;186.2782;617.7;582.1;544.63;1619.54;1.2752;23.71;107.2508
1996-12-31;2511.88;67.05;119.71;186.5694;622.86;589.98;554.93;1593.29;1.329;25.39;107.3474
1997-01-31;2728.33;67.72;120.59;186.8392;639.22;611.4;582.66;1612.20;1.3913;25.17;107.6484
1997-02-28;2851.56;69.39;126.18;187.1119;653.18;626.79;600.16;1630.44;1.4541;22.21;108.7194
1997-03-31;2946.25;68.51;128.38;187.4045;647.4;619.44;591.45;1597.88;1.4634;20.99;109.3081
1997-04-30;3094.65;69.12;127.17;187.6878;656.56;631.44;607.35;1649.81;1.4618;19.72;109.3627
1997-05-30;3195.56;69.93;130.84;187.8639;664.48;639.35;615.69;1751.34;1.4331;20.83;109.845
1997-06-30;3548.37;70.24;136.81;188.0891;684.97;665.94;650.73;1838.39;1.4424;19.17;110.3625
1997-07-31;3752.66;70.19;143.25;188.3343;701.36;686.93;678.46;1922.76;1.4824;19.63;111.06
1997-08-29;3378.83;69.9;137.83;188.5502;683.75;663.33;645.82;1793.83;1.5128;19.93;111.6836
1997-09-30;3626.07;69.95;139.09;188.8008;693.39;676.17;663.36;1890.98;1.4702;19.79;112.6595
1997-10-31;3474.77;69.84;139.67;189.1096;681.91;657.58;635.68;1791.15;1.4516;21.26;113.2695
1997-11-28;3634.65;70.27;144.05;189.414;691.27;668.97;650.14;1822.54;1.4069;20.17;114.2821
1997-12-31;3898.15;71.36;146.47;189.6509;705.19;685.82;671.2;1844.45;1.4393;18.32;114.4079
1998-01-30;4078.41;72.84;151.87;189.8388;720.36;702.56;690.31;1895.55;1.4748;16.71;114.9354
1998-02-27;4426.14;73.53;153.49;189.997;735.48;722.62;717.45;2023.46;1.4631;16.06;115.3499
1998-03-31;4716.64;73.05;149.57;190.2322;747.37;743.1;749.36;2108.60;1.4901;15.02;115.3153
1998-04-30;4657.6;72.41;144.63;190.475;742.11;737.87;743.95;2128.88;1.5051;15.44;115.8238
1998-05-29;4823.96;73.12;145.92;190.7431;744.59;738.03;741.6;2101.89;1.479;14.86;116.2299
1998-06-30;4932.36;72.62;143.98;191.0861;748.46;745.97;755.1;2151.45;1.4949;13.66;115.6271
1998-07-31;5146.74;73.07;138.94;191.3955;745.68;740.4;746.94;2147.68;1.5136;14.08;114.8205
1998-08-31;4216.71;74.29;134.87;191.6529;717.71;693.24;672.96;1860.96;1.4933;13.36;116.5325
1998-09-30;3692.44;74.89;133.13;191.9045;713.6;684.34;656.9;1893.55;1.4;14.95;116.4044
1998-10-30;4143.33;75.57;138.04;192.1054;730.13;704.16;682.54;2064.40;1.3373;14.39;116.7541
1998-11-30;4462.95;76.16;145.07;192.3858;750.78;731.56;719.03;2186.85;1.3852;12.85;116.906
1998-12-31;4497.12;76.48;145.09;192.6117;752.81;734.96;724.42;2293.35;1.3604;11.28;117.2221
1999-01-29;4532.24;76.97;153.52;192.8159;768.19;753.46;746.9;2343.24;1.3856;12.47;117.4568
1999-02-26;4470.42;77.13;156.62;193.0188;766.32;751.25;743.87;2280.57;1.4272;12.01;118.1518
1999-03-31;4539.26;77.07;156.48;193.2197;777.99;769.4;769.97;2375.19;1.466;14.66;118.0337
1999-04-30;4714.57;77.68;159.23;193.3796;797.27;797.27;808.52;2468.49;1.4971;17.34;118.0101
1999-05-31;4494.29;77.16;159.45;193.5445;788.71;786.48;793.81;2377.96;1.5078;17.75;118.8866
1999-06-30;4530.85;75.66;158.62;193.7417;790.93;796.95;814.87;2488.54;1.5374;17.89;118.7322
1999-07-30;4531.51;75.61;158.06;193.9231;782.83;785.41;798.89;2480.74;1.5474;20.07;119.077
1999-08-31;4607.21;75.24;156.81;194.1005;783.58;788.94;806.07;2475.99;1.5093;21.26;119.6499
1999-09-30;4570.61;74.35;154.05;194.4105;778.1;781.73;796.62;2451.64;1.5262;23.88;119.3989
1999-10-29;4705.24;73.53;144.63;194.7421;780.16;791.25;816.25;2578.74;1.4896;22.64;120.7075
1999-11-30;4877.5;73.95;145.29;195.0445;797.95;819.65;858.24;2650.96;1.5543;24.97;121.4339
1999-12-31;5022.86;74.44;146.26;195.3449;818.67;854.68;911.57;2865.20;1.5841;26.08;122.3848
2000-01-31;4717.22;73.78;147.05;195.6923;810.24;844.19;896.84;2700.79;1.5903;27.18;122.9245
2000-02-29;4750.92;73.6;141.84;196.0909;813.34;852.32;911.57;2707.75;1.6348;29.35;122.7525
2000-03-31;5075.78;72.47;142.31;196.558;822.34;868;938.4;2894.57;1.6636;29.89;123.4419
2000-04-28;5062.73;72.75;138.8;197.0899;817.16;860.41;927.53;2771.85;1.6657;25.74;124.2593
2000-05-31;5269.66;72.65;138.74;197.6096;811.96;850.32;911.75;2701.34;1.719;28.78;123.5283
2000-06-30;5293.34;73.51;137.61;198.1698;816.61;854.36;914.75;2791.97;1.642;31.83;123.7014
2000-07-31;5504.14;73.88;135.71;198.7387;821.86;861.35;924.38;2713.04;1.6519;29.77;123.2199
2000-08-31;5681.82;74.57;142.13;199.3171;842.47;890.74;966.46;2800.95;1.7149;31.22;122.6298
2000-09-29;5423.6;74.68;139.52;199.9134;832.87;873.69;937.68;2651.69;1.7586;33.88;123.0352
2000-10-31;5572.9;75.04;138.73;200.496;836.3;876.51;940.74;2606.94;1.7745;33.08;122.2258
2000-11-30;5533.21;75.84;138.7;201.078;828.12;856.67;904.55;2448.33;1.7779;34.4;121.7135
2000-12-29;5621.13;77.33;140.3;201.6434;831.25;854.14;894.32;2487.61;1.6855;28.46;121.1307
2001-01-31;5564.09;77.72;146.68;202.2189;845.77;872.31;917.11;2535.52;1.6305;29.58;119.8295
2001-02-28;5320.82;77.95;144.81;202.7974;836.99;856.82;891.45;2320.95;1.6686;29.61;118.744
2001-03-30;4952.28;78.96;142.75;203.3601;829.84;842.42;866.22;2168.12;1.6908;27.24;117.539
2001-04-30;5064.11;78;144.25;203.8989;838.46;859.38;894.61;2327.94;1.7131;27.41;116.0325
2001-05-31;5183.45;78.28;145.72;204.4442;846.79;870.95;910.74;2297.60;1.7528;28.64;115.0389
2001-06-29;5006.54;79.17;144.4;204.9965;844.03;864.28;897.98;2225.29;1.7856;27.6;113.3488
2001-07-31;4732.71;79.68;145.56;205.5421;836.09;846.39;866.54;2195.55;1.757;26.45;112.4682
2001-08-31;4540.71;80.26;146.87;206.0836;829.23;831.39;840.12;2089.84;1.6808;27.47;111.3268
2001-09-28;4085.51;80.98;144.89;206.476;806.53;792.12;778.82;1905.41;1.6338;25.88;109.7901
2001-10-31;4137.99;82.94;144.92;206.836;822.1;808.9;796.92;1941.80;1.6357;22.21;108.5999
2001-11-30;4260.27;81.68;146.99;207.1815;830.26;825.82;824.76;2056.38;1.6509;19.67;107.3045
2001-12-31;4382.94;80.34;145.39;207.4991;829.2;828.47;832.5;2069.10;1.6566;19.33;106.7479
2002-01-31;4265.15;80.37;146.88;207.7927;830.14;829.18;832.49;2006.20;1.6709;19.67;106.4175
2002-02-28;4332.86;80.68;147.32;208.0939;832.32;829.94;831.72;1988.56;1.697;20.74;106.12
2002-03-29;4561.61;80.63;149.59;208.3776;840.44;843.56;852.66;2076.16;1.6743;24.42;106.0033
2002-04-30;4519.16;81.6;149.75;208.6504;839;835.48;835.7;2005.59;1.6542;26.27;105.7598
2002-05-31;4546.05;82.16;152.14;208.8647;839.66;832.75;828.78;2008.93;1.5889;27.02;105.8656
2002-06-28;4146.93;83.4;153.96;209.0812;824.96;805.13;783.85;1886.69;1.5399;25.52;106.2049
2002-07-31;3623.48;84.68;154.98;209.2245;810.6;778.16;740.27;1727.50;1.4718;26.94;105.5696
2002-08-30;3652.39;85.09;155.39;209.3556;818.19;785.37;747.19;1730.45;1.4972;28.38;105.3376
2002-09-30;3336.21;87.56;154.61;209.4862;804.26;756.54;700.35;1539.93;1.4931;29.67;104.9695
2002-10-31;3442.53;87.49;159.75;209.6159;815.03;770.67;718.94;1653.39;1.4932;28.85;104.3729
2002-11-29;3561.69;88.09;155.65;209.7461;827.2;789.36;744.59;1742.29;1.4658;26.27;104.2582
2002-12-31;3245.5;90.36;156.63;209.854;817.09;766.44;706;1657.64;1.4388;29.42;103.4171
2003-01-31;3089.68;90.53;161.92;209.9594;813.62;758.33;692.41;1607.12;1.3765;32.94;103.842
2003-02-28;2907.11;91.1;167.55;210.0595;811.94;751.55;679.8;1578.99;1.3602;35.87;103.2518
2003-03-31;2882.43;90.43;165.43;210.1143;806.94;745.9;673.68;1573.78;1.3614;33.55;102.8396
2003-04-30;3235.31;89.79;163.86;210.1683;826.55;774.39;712.52;1713.25;1.3783;28.25;101.7858
2003-05-30;3310.52;91.69;168.79;210.2177;843.63;792;730.3;1810.79;1.3111;28.14;101.5722
2003-06-30;3437.73;90.9;166.02;210.2681;852.44;808.58;755.26;1841.90;1.3196;30.72;101.5519
2003-07-31;3620.38;90.46;165.67;210.3184;855.22;818.03;772.36;1879.09;1.3611;30.76;101.6129
2003-08-29;3674.7;89.44;167.94;210.3652;862.49;830.7;791.13;1919.46;1.3811;31.59;101.2882
2003-09-30;3626.43;90.64;167.37;210.4098;862.55;825.96;780.45;1931.01;1.3743;28.29;101.7552
2003-10-31;3769.49;90.05;171.59;210.4534;874.58;845.78;809.33;2045.41;1.3222;30.33;101.9386
2003-11-28;3842.74;89.55;174.48;210.5003;874.18;844.31;807.06;2076.32;1.3318;31.09;102.6444
2003-12-31;3961.58;91.19;176.55;210.5459;885.41;855.98;819.51;2206.42;1.2643;32.15;102.706
2004-01-02;4152.32;91.27;179.92;210.5892;900.41;876.26;846.02;2241.83;1.2391;34.27;102.8396
2004-02-27;4221.28;92.47;178.54;210.6345;911.76;890.48;863.3;2279.37;1.2448;34.74;103.2724
2004-03-31;4098.04;92.94;178.14;210.6784;912.61;891.05;862.69;2264.24;1.2778;36.76;103.8939
2004-04-30;4252.39;92.1;174.33;210.7261;903.34;881.54;854.21;2217.87;1.2969;36.69;104.2061
2004-05-28;4161.31;91.42;175.32;210.7718;896.55;872.66;842.61;2238.07;1.2839;40.28;104.9486
2004-06-30;4166.47;90.92;175.01;210.8593;898.09;876.95;850.13;2284.02;1.2503;38.02;104.5923
2004-07-30;4098.61;91.82;175.61;210.9524;900.48;877.32;847.65;2209.45;1.2452;40.69;105.1902
2004-08-31;4016.27;92.87;175.97;211.0615;907.48;882.81;850.69;2219.16;1.2623;44.94;105.6329
2004-09-30;4057.34;93.3;178.22;211.1846;911.75;886.73;854.45;2261.14;1.2629;45.95;105.6646
2004-10-29;3987.28;94.75;183.67;211.3126;916.25;887.79;851.16;2316.47;1.233;53.13;106.4282
2004-11-30;4052.75;96.12;184.1;211.4429;922.25;894.25;857.96;2438.16;1.1711;48.46;106.5773
2004-12-30;4234.56;96.37;188.29;211.5693;935.38;912.38;882.32;2531.23;1.1465;43.33;107.4548
2005-01-31;4305.72;97.92;193.49;211.7016;947.56;925.21;896.07;2474.24;1.1792;46.84;107.8639
2005-02-28;4435.52;97.16;186.46;211.8354;945.44;926.01;900.68;2552.62;1.1918;47.97;108.3612
2005-03-31;4456.72;97.71;190.05;211.9722;949.96;930.41;904.95;2503.07;1.1756;54.31;108.2204
2005-04-29;4444.06;99.59;192.86;212.1065;955.21;931.55;900.97;2448.53;1.1954;53.04;108.6651
2005-05-31;4645.39;100.56;196.4;212.2391;975.37;958.51;936.33;2492.03;1.2172;49.83;108.8608
2005-06-30;4752.39;100.53;195.86;212.3714;987.18;976.31;961.22;2513.60;1.2665;56.26;109.3518
2005-07-29;5025.01;100.56;199.77;212.5051;999.36;995.21;988.89;2601.40;1.2945;58.7;109.4941
2005-08-31;4977.17;101.25;197.98;212.6397;998.92;992.42;983.05;2621.00;1.2629;64.97;109.7133
2005-09-30;5271.01;101.43;198.36;212.7798;1011.09;1012.92;1014.5;2689.08;1.2671;65.57;108.8826
2005-10-31;5338.4;100.21;197.75;212.9305;1000;1000;1000;2623.84;1.288;62.37;109.8999
